iso_o,TIME_PERIOD,export,import,net_imp,gdp_pct,co2,manufacturing,renewable,energy,trade_openness,fdi,urban,internet,population,country,continent,category,development,eci_sitc,eci_rank_sitc,importing,exporting
RUS,2008,781.444,293.353,-488.09099999999995,9093.7,12.36,14.93,3.3,4822.38,53.38,3.3,73.6,32.0,8.72,Russia,Asia,Emerging and Developing Economies,0.0,0.014,62,70.0,2.0
SAU,2008,197.90800000000002,130.306,-67.602,21629.84,18.06,8.81,0.0,6980.06,96.1,0.0,81.65,36.0,10.83,Saudi Arabia,Asia,Emerging and Developing Economies,0.0,-0.396,83,65.0,7.0
SEN,2008,3.003,5.412,2.409,1138.67,0.53,17.54,39.8,259.23,62.76,39.8,42.95,7.12,62.58,Senegal,Africa,Emerging and Developing Economies,0.0,-0.463,85,42.0,30.0
SGP,2008,155.16,136.071,-19.089,44601.58,8.87,20.59,0.5,4958.46,437.33,0.5,100.0,69.0,6913.42,Singapore,Asia,Advanced Economies,1.0,2.016,4,57.0,15.0
SVK,2008,45.003,48.837,3.834000000000003,14497.11,7.65,18.53,7.6,3406.38,162.46,7.6,55.11,66.05,111.83,Slovak Republic,Europe,Advanced Economies,1.0,1.153,23,40.0,32.0
SVN,2008,17.117,22.434,5.317,22175.24,9.34,19.19,17.6,3952.12,135.39,17.6,52.21,58.0,100.33,Slovenia,Europe,Advanced Economies,1.0,1.507,17,34.0,38.0
SWE,2008,64.216,104.91,40.694,48427.76,5.61,15.56,43.2,5383.76,92.81,43.2,84.75,90.0,22.63,Sweden,Europe,Advanced Economies,1.0,1.884,6,14.0,58.0
THA,2008,193.04,195.043,2.0030000000000143,4805.76,3.53,30.55,22.6,1596.83,140.44,22.6,41.24,18.2,132.36,Thailand,Asia,Emerging and Developing Economies,0.0,0.766,33,43.0,29.0
TUN,2008,21.004,18.078,-2.926000000000002,3760.12,2.41,18.14,14.6,894.3,114.34,14.6,66.09,27.53,67.86,Tunisia,Africa,Emerging and Developing Economies,0.0,-0.075,65,50.0,22.0
TUR,2008,106.165,194.55700000000002,88.39200000000001,8376.15,4.22,16.26,12.5,1385.18,50.55,12.5,69.65,34.37,92.32,Türkiye,Europe,Emerging and Developing Economies,0.0,0.291,50,9.0,63.0
UKR,2008,150.019,78.68,-71.339,2567.69,7.49,15.89,2.7,2875.9,94.17,2.7,68.32,11.0,80.82,Ukraine,Europe,Emerging and Developing Economies,0.0,0.36,46,66.0,6.0
USA,2008,948.771,1900.321,951.55,53703.96,18.71,12.18,6.8,7484.83,29.87,6.8,80.44,74.0,33.24,United States,America,Advanced Economies,1.0,1.723,10,1.0,71.0
VNM,2008,122.68900000000001,103.36999999999999,-19.319000000000017,1856.01,1.48,18.58,39.3,572.1,154.32,39.3,29.13,23.92,272.31,Vietnam,Asia,Emerging and Developing Economies,0.0,-0.2,71,58.0,14.0
ZAF,2008,197.546,85.785,-111.761,6009.72,9.55,15.61,9.7,2738.08,65.97,9.7,61.15,8.43,42.14,South Africa,Africa,Emerging and Developing Economies,0.0,0.16,56,68.0,4.0
ARG,2009,84.34100000000001,38.806,-45.53500000000001,12285.38,4.04,15.58,8.6,1722.74,34.06,8.6,90.69,34.0,14.93,Argentina,America,Emerging and Developing Economies,0.0,-0.05,65,63.0,9.0
AUS,2009,176.239,175.671,-0.568000000000012,53237.01,18.91,8.45,7.1,5843.93,45.74,7.1,85.06,74.25,2.82,Australia,Pacific,Advanced Economies,1.0,-0.534,92,46.0,26.0
AUT,2009,54.229,86.1,31.870999999999995,42372.48,8.16,16.82,31.3,3819.5,87.6,31.3,57.68,73.45,101.11,Austria,Europe,Advanced Economies,1.0,1.79,7,12.0,60.0
BEL,2009,99.587,137.985,38.39800000000001,39293.64,9.95,12.84,4.9,5161.34,135.14,4.9,97.6,74.54,355.93,Belgium,Europe,Advanced Economies,1.0,1.192,23,11.0,61.0
BGD,2009,11.977,33.994,22.017,901.73,0.37,16.48,43.1,187.66,40.09,43.1,29.71,3.1,1159.05,Bangladesh,Asia,Emerging and Developing Economies,0.0,-0.827,111,17.0,55.0
BGR,2009,27.213,21.303,-5.91,6288.73,6.25,14.600684931506848,11.6,2337.24,92.69,11.6,71.96,45.0,68.57,Bulgaria,Europe,Emerging and Developing Economies,0.0,0.184,55,51.0,21.0
BLR,2009,39.064,42.132,3.067999999999998,5200.77,6.48,22.46,7.4,2789.0,108.64,7.4,74.17,27.43,46.84,Belarus,Europe,Emerging and Developing Economies,0.0,0.716,37,36.0,36.0
BRA,2009,222.61,158.228,-64.382,8246.1,2.01,13.06,48.9,1262.1,22.11,48.9,84.04,39.22,22.98,Brazil,America,Emerging and Developing Economies,0.0,0.053,60,66.0,6.0
CAN,2009,331.534,273.77,-57.76400000000001,40376.42,16.11,10.06,22.2,7696.33,58.47,22.2,80.76,80.3,3.75,Canada,America,Advanced Economies,1.0,0.463,44,65.0,7.0
CHE,2009,39.166,97.11,57.944,79585.52,5.77,17.9,20.0,3460.61,109.78,20.0,73.58,81.3,195.98,Switzerland,Europe,Advanced Economies,1.0,2.273,1,8.0,64.0
CHL,2009,41.555,43.103,1.5480000000000018,11116.41,4.01,10.26,31.5,1735.84,66.69,31.5,87.02,41.56,22.88,Chile,America,Emerging and Developing Economies,0.0,-0.324,80,42.0,30.0
CHN,2009,1835.759,766.032,-1069.7269999999999,5237.77,6.27,31.06,13.4,1728.62,44.42,13.4,47.88,28.9,141.8,China,Asia,Emerging and Developing Economies,0.0,0.982,27,71.0,1.0
CIV,2009,6.975,7.026,0.051000000000000156,1473.92,0.29,9.63,73.7,426.34,66.67,73.7,46.91,2.0,69.18,Côte d'Ivoire,Africa,Emerging and Developing Economies,0.0,-0.993,119,44.0,28.0
CMR,2009,6.098,6.53,0.4320000000000004,1290.9,0.4,14.88,79.2,363.55,42.18,79.2,50.95,3.84,40.43,Cameroon,Africa,Emerging and Developing Economies,0.0,-0.918,115,43.0,29.0
COL,2009,32.789,35.447,2.6580000000000013,5046.97,1.44,14.78,31.4,714.94,35.16,31.4,77.59,30.0,39.9,Colombia,America,Emerging and Developing Economies,0.0,0.152,56,38.0,34.0
CRI,2009,6.031000000000001,9.585,3.5540000000000003,9883.68,1.63,14.15,40.7,1002.15,69.76,40.7,70.58,34.33,88.13,Costa Rica,America,Emerging and Developing Economies,0.0,0.468,43,33.0,39.0
CYP,2009,4.913,8.388,3.4749999999999996,26183.69,7.47,5.38,6.3,2311.55,102.79,6.3,67.69,49.81,120.06,Cyprus,Europe,Advanced Economies,1.0,1.424,18,34.0,38.0
CZE,2009,78.091,68.849,-9.24199999999999,16272.81,11.46,20.34,10.2,4077.7,113.05,10.2,73.32,64.43,135.21,Czech Republic,Europe,Advanced Economies,1.0,1.558,13,52.0,20.0
DEU,2009,415.767,589.497,173.72999999999996,36927.19,9.38,17.35,10.7,3821.63,66.12,10.7,76.77,79.0,234.94,Germany,Europe,Advanced Economies,1.0,2.016,4,4.0,68.0
DNK,2009,81.981,62.921,-19.059999999999995,50635.91,8.77,11.16,19.3,3359.27,89.39,19.3,86.65,86.84,138.08,Denmark,Europe,Advanced Economies,1.0,1.279,20,57.0,15.0
EGY,2009,47.303,56.71,9.407000000000004,3135.1,2.4,15.79,5.7,862.44,56.55,5.7,43.04,20.0,87.9,Egypt,Africa,Emerging and Developing Economies,0.0,-0.264,78,25.0,47.0
ESP,2009,139.623,221.298,81.67500000000001,25860.81,6.55,11.33,12.2,2749.86,46.84,12.2,78.21,62.4,92.98,Spain,Europe,Advanced Economies,1.0,0.909,30,7.0,65.0
EST,2009,9.267999999999999,7.688,-1.5799999999999992,14274.85,12.6,12.29,24.2,3360.66,116.76,24.2,68.22,72.5,31.48,Estonia,Europe,Advanced Economies,1.0,0.67,40,48.0,24.0
FIN,2009,46.051,56.432,10.381,42412.51,10.69,16.67,32.5,6255.05,70.13,32.5,83.43,82.49,17.57,Finland,Europe,Advanced Economies,1.0,1.66,10,24.0,48.0
FRA,2009,191.019,376.265,185.24599999999998,35052.85,5.72,10.52,11.2,3938.39,52.2,11.2,78.12,71.58,120.06,France,Europe,Advanced Economies,1.0,1.456,17,3.0,69.0
GBR,2009,185.38299999999998,346.336,160.95300000000003,41712.83,7.76,9.07,3.0,3144.0,55.0,3.0,81.03,83.56,257.41,United Kingdom,Europe,Advanced Economies,1.0,1.726,8,6.0,66.0
GRC,2009,39.5,70.969,31.468999999999994,22878.13,8.66,8.17,9.2,2654.84,46.38,9.2,75.93,42.4,86.17,Greece,Europe,Advanced Economies,1.0,0.368,50,13.0,59.0
HKG,2009,73.636,95.899,22.263000000000005,35938.61,6.47,1.73,0.1,2043.27,348.4,0.1,100.0,69.4,6640.76,Hong Kong SAR,Asia,Advanced Economies,1.0,0.685,39,16.0,56.0
HRV,2009,9.61,15.673,6.063000000000001,12099.8,5.03,13.25,27.2,2199.79,69.7,27.2,54.99,50.58,76.93,Croatia,Europe,Advanced Economies,1.0,0.621,41,29.0,43.0
HUN,2009,50.448,53.859,3.4110000000000014,11142.89,5.16,17.16,12.3,2548.81,145.31,12.3,68.46,62.0,110.71,Hungary,Europe,Emerging and Developing Economies,0.0,1.588,12,35.0,37.0
IDN,2009,147.81900000000002,124.415,-23.40400000000001,2546.22,1.69,26.36,38.2,674.89,45.51,38.2,49.13,6.92,129.54,Indonesia,Asia,Emerging and Developing Economies,0.0,-0.184,74,59.0,13.0
IND,2009,364.25,329.823,-34.42700000000002,1155.1,1.34,17.14,37.4,509.45,46.27,37.4,30.59,5.12,412.19,India,Asia,Emerging and Developing Economies,0.0,-0.068,68,62.0,10.0
IRL,2009,51.051,59.123,8.071999999999996,46514.54,9.08,20.39,5.3,3173.73,173.59,5.3,61.34,67.38,65.84,Ireland,Europe,Advanced Economies,1.0,2.076,3,27.0,45.0
ISR,2009,21.563000000000002,43.373,21.809999999999995,32178.57,8.97,13.98,8.5,2874.86,61.68,8.5,91.76,63.12,345.91,Israel,Asia,Advanced Economies,1.0,1.694,9,18.0,54.0
ITA,2009,180.237,342.903,162.66600000000003,31587.06,6.96,13.66,12.5,2848.1,45.14,12.5,68.21,48.83,201.39,Italy,Europe,Advanced Economies,1.0,1.377,19,5.0,67.0
JOR,2009,8.686,13.819,5.133000000000001,4615.23,2.95,20.13,2.8,1044.3,112.15,2.8,84.93,26.0,80.44,Jordan,Asia,Emerging and Developing Economies,0.0,0.776,35,30.0,42.0
JPN,2009,254.711,609.6370000000001,354.92600000000004,31651.08,9.07,19.05,4.5,3709.02,24.39,4.5,89.99,78.0,351.29,Japan,Asia,Advanced Economies,1.0,2.209,2,2.0,70.0
KAZ,2009,103.06,49.089,-53.971000000000004,8218.4,13.92,10.87,1.3,3819.51,75.77,1.3,56.76,18.2,6.16,Kazakhstan,Asia,Emerging and Developing Economies,0.0,-0.828,112,64.0,8.0
KHM,2009,8.922,6.22,-2.702000000000001,1117.26,0.34,19.09,68.0,311.46,102.29,68.0,19.93,0.53,80.88,Cambodia,Asia,Emerging and Developing Economies,0.0,-0.801,110,50.0,22.0
KOR,2009,309.856,364.902,55.04599999999999,23952.81,11.18,25.77,1.2,4557.7,86.13,1.2,81.83,81.6,508.01,Korea,Asia,Advanced Economies,1.0,1.526,15,9.0,63.0
LAO,2009,3.213,2.927,-0.28600000000000003,1463.34,0.42,11.68,66.4,420.27,76.93,66.4,29.48,6.0,27.04,Lao P.D.R.,Asia,Emerging and Developing Economies,0.0,-1.047,122,45.0,27.0
LTU,2009,13.032,15.565999999999999,2.533999999999999,10612.92,4.18,15.07,20.1,2771.82,105.04,20.1,66.84,59.76,50.47,Lithuania,Europe,Advanced Economies,1.0,0.358,51,40.0,32.0
LVA,2009,5.634,8.478,2.8439999999999994,10675.43,3.62,10.0,38.4,2056.15,88.83,38.4,67.81,66.84,34.42,Latvia,Europe,Advanced Economies,1.0,0.788,34,37.0,35.0
MAR,2009,14.123000000000001,28.285,14.161999999999999,2710.67,1.53,14.88,14.2,504.86,62.37,14.2,57.45,41.3,71.77,Morocco,Africa,Emerging and Developing Economies,0.0,-0.475,90,23.0,49.0
MEX,2009,174.03300000000002,191.791,17.75799999999998,9074.12,4.12,17.43,9.2,1616.79,54.59,9.2,77.52,26.34,57.61,Mexico,America,Emerging and Developing Economies,0.0,1.244,21,19.0,53.0
MMR,2009,17.558,4.788,-12.77,785.63,0.16,14.600684931506848,85.8,290.57,87.33205479452056,85.8,28.7,0.22,74.48,Myanmar,Asia,Emerging and Developing Economies,0.0,-1.261,129,54.0,18.0
MYS,2009,202.476,100.36,-102.116,7700.46,7.04,23.8,2.3,2483.79,162.56,2.3,70.08,55.9,85.6,Malaysia,Asia,Emerging and Developing Economies,0.0,0.928,29,69.0,3.0
NGA,2009,74.254,47.14,-27.114000000000004,2204.61,0.5,7.84,88.1,260.35,87.33205479452056,88.1,42.59,9.3,177.93,Nigeria,Africa,Emerging and Developing Economies,0.0,-1.505,137,60.0,12.0
NLD,2009,133.117,149.647,16.53,44304.41,10.57,9.84,4.4,4665.86,115.11,4.4,86.29,89.63,490.08,The Netherlands,Europe,Advanced Economies,1.0,1.1,24,21.0,51.0
NOR,2009,53.237,67.922,14.684999999999995,73141.31,9.35,7.47,56.7,6200.5,67.46,56.7,78.82,92.08,13.22,Norway,Europe,Advanced Economies,1.0,0.69,38,22.0,50.0
NZL,2009,34.548,24.51,-10.038,35370.59,7.75,10.74,28.5,4073.04,55.01,28.5,86.22,79.7,16.34,New Zealand,Pacific,Advanced Economies,1.0,0.047,61,53.0,19.0
PAK,2009,31.262,40.373,9.110999999999997,1269.07,0.82,12.54,46.4,433.23,33.33,46.4,34.79,7.5,252.15,Pakistan,Asia,Emerging and Developing Economies,0.0,-0.536,93,26.0,46.0
PER,2009,25.221,23.503,-1.718,4801.17,1.45,15.29,32.9,583.14,48.11,32.9,76.24,31.4,22.58,Peru,America,Emerging and Developing Economies,0.0,-0.577,98,49.0,23.0
PHL,2009,40.629,47.663,7.033999999999999,2256.73,0.83,21.74,34.1,420.72,60.89,34.1,45.37,9.0,316.55,Philippines,Asia,Emerging and Developing Economies,0.0,0.856,31,28.0,44.0
POL,2009,127.54899999999999,114.71000000000001,-12.838999999999984,10446.53,8.16,16.68,8.8,2463.27,74.97,8.8,61.0,58.97,124.56,Poland,Europe,Emerging and Developing Economies,0.0,0.976,28,55.0,17.0
PRT,2009,27.069,44.799,17.73,19371.13,5.55,11.13,24.9,2304.18,61.49,24.9,59.96,48.27,115.39,Portugal,Europe,Advanced Economies,1.0,0.543,42,20.0,52.0
ROU,2009,29.906,34.383,4.477000000000004,7924.87,4.21,21.01,22.1,1707.81,58.47,22.1,53.7,36.6,88.53,Romania,Europe,Emerging and Developing Economies,0.0,0.754,36,31.0,41.0
RUS,2009,678.785,219.21800000000002,-459.56699999999995,8381.87,11.64,12.9,3.6,4529.2,48.44,3.6,73.64,42.55,8.72,Russia,Asia,Emerging and Developing Economies,0.0,-0.226,76,70.0,2.0
SAU,2009,92.38900000000001,121.873,29.483999999999995,20577.55,18.33,10.65,0.0,7125.05,84.86,0.0,81.87,38.0,11.27,Saudi Arabia,Asia,Emerging and Developing Economies,0.0,-0.332,81,15.0,57.0
SEN,2009,2.685,4.29,1.605,1142.65,0.53,15.77,51.3,304.74,52.31,51.3,43.36,7.5,64.08,Senegal,Africa,Emerging and Developing Economies,0.0,-0.539,95,41.0,31.0
SGP,2009,149.676,120.022,-29.653999999999982,43331.87,8.77,20.27,0.5,5321.08,358.19,0.5,100.0,69.0,7125.1,Singapore,Asia,Advanced Economies,1.0,2.006,5,61.0,11.0
SVK,2009,37.264,39.861000000000004,2.5970000000000013,13680.75,6.91,14.68,10.0,3107.88,136.71,10.0,54.96,70.0,112.01,Slovak Republic,Europe,Advanced Economies,1.0,1.09,25,39.0,33.0
SVN,2009,12.512,16.369,3.8569999999999993,20307.62,8.28,17.16,19.6,3514.08,114.48,19.6,52.43,64.0,101.25,Slovenia,Europe,Advanced Economies,1.0,1.605,11,32.0,40.0
SWE,2009,47.261,77.099,29.838,45973.55,5.05,13.78,45.7,4891.39,81.96,45.7,84.9,91.0,22.83,Sweden,Europe,Advanced Economies,1.0,1.915,6,14.0,58.0
THA,2009,172.704,155.678,-17.02600000000001,4737.46,3.4,29.46,22.8,1578.76,119.27,22.8,42.54,20.1,133.34,Thailand,Asia,Emerging and Developing Economies,0.0,0.8,33,56.0,16.0
TUN,2009,16.304,15.648,-0.6559999999999988,3835.26,2.38,16.94,16.1,859.96,93.02,16.1,66.38,34.07,68.55,Tunisia,Africa,Emerging and Developing Economies,0.0,0.055,59,47.0,25.0
TUR,2009,101.02699999999999,155.22299999999998,54.196,7862.87,4.18,15.16,13.1,1364.1,46.79,13.1,70.24,36.4,93.6,Türkiye,Europe,Emerging and Developing Economies,0.0,0.25,53,10.0,62.0
UKR,2009,129.088,48.248,-80.84,2188.17,6.23,14.32,3.0,2453.44,87.48,3.0,68.5,17.9,80.48,Ukraine,Europe,Emerging and Developing Economies,0.0,0.344,52,67.0,5.0
USA,2009,748.774,1530.163,781.389,51863.62,17.19,11.71,7.3,7053.36,24.76,7.3,80.61,71.0,33.54,United States,America,Advanced Economies,1.0,1.543,14,1.0,71.0
VNM,2009,122.332,101.136,-21.195999999999998,1927.13,1.63,18.3,37.0,615.14,134.71,37.0,29.76,26.55,276.44,Vietnam,Asia,Emerging and Developing Economies,0.0,-0.146,71,58.0,14.0
ZAF,2009,166.98000000000002,67.607,-99.37300000000002,5847.06,8.83,14.51,9.2,2735.01,49.59,9.2,61.69,10.0,42.64,South Africa,Africa,Emerging and Developing Economies,0.0,0.101,57,68.0,4.0
ARG,2010,78.324,49.857,-28.467,13387.16,4.3,15.84,8.8,1826.05,34.97,8.8,90.85,45.0,15.09,Argentina,America,Emerging and Developing Economies,0.0,-0.062,63,61.0,11.0
AUS,2010,156.956,190.99,34.03400000000002,53578.81,18.85,7.99,8.2,5762.94,40.52,8.2,85.18,76.0,2.87,Australia,Pacific,Advanced Economies,1.0,-0.588,97,13.0,59.0
AUT,2010,69.644,98.029,28.38499999999999,43035.41,8.82,17.01,31.1,4065.04,99.64,31.1,57.4,75.17,101.35,Austria,Europe,Advanced Economies,1.0,1.769,6,16.0,56.0
BEL,2010,112.801,145.465,32.664,39991.56,10.55,13.13,6.2,5510.37,150.16,6.2,97.65,77.64,359.2,Belgium,Europe,Advanced Economies,1.0,1.197,23,14.0,58.0
BGD,2010,14.899,38.355,23.455999999999996,943.66,0.4,16.12,40.3,195.59,37.8,40.3,30.46,3.7,1169.26,Bangladesh,Asia,Emerging and Developing Economies,0.0,-0.926,122,18.0,54.0
BGR,2010,35.945,24.036,-11.908999999999999,6428.72,6.69,14.802027027027028,14.3,2393.89,103.38,14.3,72.3,46.23,68.12,Bulgaria,Europe,Emerging and Developing Economies,0.0,0.275,50,56.0,16.0
BLR,2010,42.811,45.162,2.350999999999999,5616.09,6.97,22.51,7.3,2895.61,115.92,7.3,74.67,31.8,46.74,Belarus,Europe,Emerging and Developing Economies,0.0,0.749,37,37.0,35.0
BRA,2010,228.71200000000002,203.245,-25.467000000000013,8792.63,2.27,12.72,46.8,1384.37,22.77,46.8,84.34,40.65,23.18,Brazil,America,Emerging and Developing Economies,0.0,0.15,54,60.0,12.0
CAN,2010,337.54400000000004,312.512,-25.03200000000004,41164.34,16.51,10.03,21.4,7660.75,60.21,21.4,80.94,80.3,3.79,Canada,America,Advanced Economies,1.0,0.416,46,59.0,13.0
CHE,2010,46.202,102.61,56.408,81315.42,5.92,17.9,20.6,3323.41,120.07,20.6,73.61,83.9,198.03,Switzerland,Europe,Advanced Economies,1.0,2.324,2,10.0,62.0
CHL,2010,45.153999999999996,52.941,7.787000000000006,11649.29,4.21,9.89,27.0,1795.68,69.72,27.0,87.07,45.0,23.11,Chile,America,Emerging and Developing Economies,0.0,-0.313,80,25.0,47.0
CHN,2010,2105.528,907.501,-1198.0269999999998,5764.87,6.83,31.07,12.3,1899.8,49.85,12.3,49.23,34.3,142.49,China,Asia,Emerging and Developing Economies,0.0,1.056,24,71.0,1.0
CIV,2010,6.499,6.912,0.41300000000000026,1540.53,0.33,9.0,75.4,369.59,67.47,75.4,47.33,2.7,70.72,Côte d'Ivoire,Africa,Emerging and Developing Economies,0.0,-0.958,123,43.0,29.0
CMR,2010,6.234999999999999,5.3549999999999995,-0.8799999999999999,1290.9,0.4,14.52,78.7,356.14,47.24,78.7,51.56,4.3,41.61,Cameroon,Africa,Emerging and Developing Economies,0.0,-0.803,116,45.0,27.0
COL,2010,34.344,39.597,5.253,5214.25,1.47,13.97,30.6,700.7,34.26,30.6,77.96,36.5,40.36,Colombia,America,Emerging and Developing Economies,0.0,-0.005,60,28.0,44.0
CRI,2010,5.8950000000000005,9.879,3.983999999999999,10285.09,1.59,14.58,40.4,998.69,67.51,40.4,71.74,36.5,89.23,Costa Rica,America,Emerging and Developing Economies,0.0,0.521,41,32.0,40.0
CYP,2010,3.5780000000000003,6.575,2.997,26090.05,7.02,5.05,6.5,2192.47,108.9,6.5,67.55,52.99,122.06,Cyprus,Europe,Advanced Economies,1.0,1.005,25,36.0,36.0
CZE,2010,86.723,79.18299999999999,-7.540000000000006,16665.93,11.55,20.7,10.9,4308.57,126.76,10.9,73.26,68.82,135.63,Czech Republic,Europe,Advanced Economies,1.0,1.693,10,52.0,20.0
DEU,2010,511.584,696.33,184.74600000000004,38517.44,9.97,19.43,11.6,4029.83,73.86,11.6,76.97,82.0,234.61,Germany,Europe,Advanced Economies,1.0,2.067,4,4.0,68.0
DNK,2010,79.715,61.119,-18.596000000000004,51209.45,8.75,10.88,21.2,3498.02,94.39,21.2,86.8,88.72,138.69,Denmark,Europe,Advanced Economies,1.0,1.241,21,58.0,14.0
EGY,2010,45.864,52.33,6.466000000000001,3233.85,2.37,16.1,5.4,838.17,47.94,5.4,43.02,21.6,89.6,Egypt,Africa,Emerging and Developing Economies,0.0,-0.298,79,27.0,45.0
ESP,2010,151.506,232.108,80.602,25766.25,6.25,11.11,14.4,2735.18,52.69,14.4,78.44,65.8,93.15,Spain,Europe,Advanced Economies,1.0,0.914,29,8.0,64.0
EST,2010,13.122,8.266,-4.856,14657.94,16.19,13.75,25.3,4419.42,143.67,25.3,68.09,74.1,31.41,Estonia,Europe,Advanced Economies,1.0,0.799,34,50.0,22.0
FIN,2010,54.083,58.817,4.734000000000002,43556.54,12.28,17.04,33.4,6812.6,75.46,33.4,83.77,86.89,17.65,Finland,Europe,Advanced Economies,1.0,1.621,15,29.0,43.0
FRA,2010,215.621,402.906,187.285,35578.2,5.81,10.28,11.9,4040.44,56.59,11.9,78.37,77.28,120.65,France,Europe,Advanced Economies,1.0,1.446,18,3.0,69.0
GBR,2010,199.937,367.287,167.34999999999997,42311.43,7.98,9.45,3.2,3235.05,59.27,3.2,81.3,85.0,259.44,United Kingdom,Europe,Advanced Economies,1.0,1.688,12,5.0,67.0
GRC,2010,43.119,60.371,17.252000000000002,21547.72,8.01,8.02,11.4,2487.53,50.92,11.4,76.29,44.4,86.28,Greece,Europe,Advanced Economies,1.0,0.297,49,21.0,51.0
HKG,2010,79.678,110.039,30.361000000000004,38090.03,6.01,1.71,0.1,1922.62,404.77,0.1,100.0,72.0,6689.71,Hong Kong SAR,Asia,Advanced Economies,1.0,0.795,35,15.0,57.0
HRV,2010,10.339,13.706999999999999,3.3679999999999986,11965.49,4.87,12.95,29.8,2181.04,72.64,29.8,55.16,56.55,76.75,Croatia,Europe,Advanced Economies,1.0,0.723,39,33.0,39.0
HUN,2010,56.852,59.025,2.173000000000002,11287.37,5.23,18.14,13.5,2651.34,157.84,13.5,68.91,65.0,110.46,Hungary,Europe,Emerging and Developing Economies,0.0,1.666,13,39.0,33.0
IDN,2010,164.042,155.707,-8.335000000000008,2670.81,1.8,22.04,36.0,669.11,46.7,36.0,49.91,10.92,131.19,Indonesia,Asia,Emerging and Developing Economies,0.0,-0.162,72,54.0,18.0
IND,2010,417.369,368.498,-48.87100000000004,1235.16,1.4,17.03,36.2,531.87,49.26,36.2,30.93,7.5,418.23,India,Asia,Emerging and Developing Economies,0.0,-0.073,67,65.0,7.0
IRL,2010,58.763999999999996,57.633,-1.1309999999999931,47040.35,8.97,19.49,5.3,3149.9,189.86,5.3,61.54,69.85,66.19,Ireland,Europe,Advanced Economies,1.0,1.748,7,47.0,25.0
ISR,2010,24.72,48.949,24.229,33344.72,9.45,14.03,8.6,3043.57,65.63,8.6,91.83,67.5,352.29,Israel,Asia,Advanced Economies,1.0,1.703,9,17.0,55.0
ITA,2010,218.802,385.379,166.57700000000003,31928.55,7.09,14.16,12.8,2904.36,51.66,12.8,68.33,53.68,202.29,Italy,Europe,Advanced Economies,1.0,1.448,17,6.0,66.0
JOR,2010,9.623000000000001,14.110000000000001,4.487,4621.57,2.82,18.93,3.0,973.41,114.22,3.0,86.09,27.2,82.19,Jordan,Asia,Emerging and Developing Economies,0.0,0.756,36,30.0,42.0
JPN,2010,303.61,686.626,383.01599999999996,32942.2,9.53,20.77,4.7,3900.21,28.5,4.7,90.81,78.21,351.36,Japan,Asia,Advanced Economies,1.0,2.441,1,2.0,70.0
KAZ,2010,112.978,45.968,-67.00999999999999,8704.71,14.84,11.32,1.4,4105.7,74.14,1.4,56.83,31.6,6.24,Kazakhstan,Asia,Emerging and Developing Economies,0.0,-0.786,115,66.0,6.0
KHM,2010,10.216000000000001,6.577,-3.639000000000001,1155.85,0.36,19.69,64.8,323.26,110.0,64.8,20.29,1.26,82.15,Cambodia,Asia,Emerging and Developing Economies,0.0,-0.664,102,49.0,23.0
KOR,2010,357.791,429.164,71.37299999999999,25455.62,12.07,27.44,1.3,4920.34,91.4,1.3,81.94,83.7,509.82,Korea,Asia,Advanced Economies,1.0,1.707,8,9.0,63.0
LAO,2010,5.461,3.941,-1.5200000000000005,1564.91,0.47,11.09,64.8,425.37,84.72,64.8,30.06,7.0,27.44,Lao P.D.R.,Asia,Emerging and Developing Economies,0.0,-0.908,120,48.0,24.0
LTU,2010,14.888,19.181,4.293000000000001,10884.12,4.53,16.91,21.5,2276.52,131.63,21.5,66.76,62.12,49.42,Lithuania,Europe,Advanced Economies,1.0,0.363,47,31.0,41.0
LVA,2010,7.191,8.981,1.79,10500.87,4.23,12.14,33.1,2149.36,110.86,33.1,67.84,68.42,33.71,Latvia,Europe,Advanced Economies,1.0,0.675,40,40.0,32.0
MAR,2010,16.851,28.371,11.52,2767.04,1.6,14.82,13.9,526.1,69.54,13.9,58.02,52.0,72.75,Morocco,Africa,Emerging and Developing Economies,0.0,-0.578,95,23.0,49.0
MEX,2010,190.223,229.709,39.48599999999999,9389.07,4.2,17.84,9.4,1581.83,59.27,9.4,77.82,31.05,58.45,Mexico,America,Emerging and Developing Economies,0.0,1.423,19,11.0,61.0
MMR,2010,15.626999999999999,7.348,-8.279,854.93,0.18,19.86,84.6,278.48,93.91493150684931,84.6,28.88,0.25,75.05,Myanmar,Asia,Emerging and Developing Economies,0.0,-1.302,131,53.0,19.0
MYS,2010,210.813,116.37400000000001,-94.43899999999998,8118.92,7.52,23.43,2.0,2529.59,157.94,2.0,70.91,56.3,87.22,Malaysia,Asia,Emerging and Developing Economies,0.0,0.957,27,69.0,3.0
NGA,2010,92.315,53.506,-38.809,2315.47,0.57,6.55,86.0,334.67,93.91493150684931,86.0,43.48,11.5,182.97,Nigeria,Africa,Emerging and Developing Economies,0.0,-1.62,142,63.0,9.0
NLD,2010,148.441,160.458,12.016999999999996,44659.27,11.2,9.77,3.9,4978.87,130.08,3.9,87.13,90.72,492.6,The Netherlands,Europe,Advanced Economies,1.0,1.293,20,22.0,50.0
