Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Low income,LIC,..,..,..,..,..,..,0.8,1.1,2.1,2.5,3.1,3.7,4.2,5,5.8,7.1,8.9,10.4,12.1,14.2,17.2,18.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lower middle income,LMC,..,..,..,..,..,..,3.7,4.6,5.7,6.6,7.8,10.4,12.6,14,15.6,17.6,19.7,22.2,24.7,27.5,33.6,42.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Middle East, North Africa, Afghanistan & Pakistan",MEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Post-demographic dividend,PST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,South Asia,SAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Upper middle income,UMC,..,..,..,..,..,..,10.2,12.5,16.6,21.2,25.8,30.6,34.5,38.3,41.4,44.2,47.9,51.4,54.7,59.5,64.5,70.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,World,WLD,..,..,..,..,..,..,15.6,17.2,20.2,22.8,25.3,28.4,30.9,33.3,35.3,37.4,39.8,42.8,45.2,48.5,52.9,58.6
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,
